word,assigned_domain,similarity_score
beautiful,evaluation,0.6527359
yellow-orange,appearance_style,0.6522269
place,context_environment,0.64632475
1960s,age_era,0.64555097
excellent,evaluation,0.6441101
nearby,context_environment,0.64383113
hard,condition_functionality,0.64360505
roads,context_environment,0.6428062
slow,condition_functionality,0.641601
younger,age_era,0.6415901
heavy,condition_functionality,0.64065635
lawn,context_environment,0.6392906
hot,evaluation,0.6383522
sidewalk,context_environment,0.6374429
pavement,context_environment,0.636462
urban,context_environment,0.6361817
greenish,appearance_style,0.6359732
cars,context_environment,0.63455915
outdoorsy,context_environment,0.63318264
great,evaluation,0.6317023
power,condition_functionality,0.63045835
building,context_environment,0.6296419
faster,condition_functionality,0.6294756
light,appearance_style,0.6267365
area,context_environment,0.625579
greyish,appearance_style,0.62544286
easy,condition_functionality,0.6250092
amazing,evaluation,0.62492836
years,age_era,0.6240144
looks,evaluation,0.6237362
yard,context_environment,0.6237234
cute,evaluation,0.6234478
past,age_era,0.6233433
car,context_environment,0.6231643
speed,condition_functionality,0.62298584
tough,condition_functionality,0.6218574
beige,appearance_style,0.6211738
decades,age_era,0.62034726
creepy,evaluation,0.6202816
places,context_environment,0.61950696
loud,condition_functionality,0.6194128
roof,context_environment,0.61910033
garden,context_environment,0.6189992
buildings,context_environment,0.6187173
greyblue,appearance_style,0.6186939
bad,evaluation,0.6174071
land,context_environment,0.61711943
surrounding,context_environment,0.61687934
silver,appearance_style,0.61631334
2000s,age_era,0.6161978
harder,condition_functionality,0.615732
wonderful,evaluation,0.6146042
houses,context_environment,0.61381865
grayblue,appearance_style,0.6138112
difficult,condition_functionality,0.61256254
extremely,condition_functionality,0.61174333
why,evaluation,0.60947764
paved,context_environment,0.6093198
scenery,context_environment,0.6088895
waterfront,context_environment,0.60878813
very,evaluation,0.60809886
slowly,condition_functionality,0.60767305
city,context_environment,0.60713553
old-persons,age_era,0.60646653
worn,appearance_style,0.6064369
pleasing,evaluation,0.60628057
likes,evaluation,0.6058101
turquoise,appearance_style,0.6039444
recent,age_era,0.6037688
housing,context_environment,0.6015497
fantastic,evaluation,0.601349
product,condition_functionality,0.5990868
modern,age_era,0.5986537
town,context_environment,0.5986425
coloring,appearance_style,0.59758925
1990s,age_era,0.596673
funky,evaluation,0.59658474
medium,appearance_style,0.59584725
nice-looking,evaluation,0.5955723
burgundy,appearance_style,0.59532493
vehicles,context_environment,0.5945818
2004,age_era,0.5944204
sturdy,condition_functionality,0.5942764
pleasant,evaluation,0.5940121
twenties,age_era,0.5937488
fastest,condition_functionality,0.59336686
areas,context_environment,0.5932001
safe,condition_functionality,0.59290606
engine,condition_functionality,0.59264266
thick,condition_functionality,0.5925383
quiet,condition_functionality,0.59131515
dirt,context_environment,0.5910208
rugged,condition_functionality,0.5907973
muscle,condition_functionality,0.5903852
cleaned,condition_functionality,0.5881332
appearance,evaluation,0.587354
young,age_era,0.58718663
great-looking,evaluation,0.5868274
beat,condition_functionality,0.5865666
concrete,context_environment,0.5861901
friendly,evaluation,0.58574426
looking,evaluation,0.58531785
2010,age_era,0.58528817
vehicle,context_environment,0.5851767
apartment,context_environment,0.5850421
1950s,age_era,0.58461577
style,evaluation,0.5832291
walls,context_environment,0.5826241
weird,evaluation,0.5822034
damage,condition_functionality,0.58198816
wall,context_environment,0.5804786
kind,evaluation,0.5802507
60,age_era,0.5801992
indoors,context_environment,0.5800445
house,context_environment,0.57976496
floor,context_environment,0.57965136
changed,age_era,0.57964325
muscular,condition_functionality,0.57951903
20s,age_era,0.5790074
version,age_era,0.57874817
odd-looking,evaluation,0.5781493
character,condition_functionality,0.5778527
neighborhood,context_environment,0.57762784
corner,context_environment,0.57748795
forests,context_environment,0.57726496
utility,condition_functionality,0.5772365
race,appearance_style,0.5771607
job,condition_functionality,0.57660496
forest,context_environment,0.57629216
strange,evaluation,0.57605404
shade,appearance_style,0.576054
terrain,context_environment,0.57578546
nicely,evaluation,0.57578254
messed,evaluation,0.57574904
bright,appearance_style,0.5754122
raceish,appearance_style,0.5750276
is,condition_functionality,0.5748029
rocks,context_environment,0.572402
fifties,age_era,0.57237065
something,appearance_style,0.5722544
louder,condition_functionality,0.5720701
trees,context_environment,0.5720558
circa,age_era,0.5718432
appealing,evaluation,0.57169735
home,context_environment,0.57156336
doors,context_environment,0.570675
what,evaluation,0.5704098
horrible,evaluation,0.57030857
tree,context_environment,0.5689402
latest,age_era,0.56889045
2010ish,age_era,0.568613
beach,context_environment,0.5685509
fancy,evaluation,0.56853914
look,evaluation,0.5681164
era,age_era,0.56809086
easily,condition_functionality,0.5679264
18,age_era,0.56748676
lime,appearance_style,0.56737185
apartments,context_environment,0.5671091
scenic,context_environment,0.5669794
unusual,evaluation,0.56697637
truck,context_environment,0.56560814
traffic,context_environment,0.5654859
body,condition_functionality,0.5654467
seen,evaluation,0.5650227
40,age_era,0.56499094
normal-looking,evaluation,0.56477594
spot,context_environment,0.5647411
grassy,context_environment,0.56469214
denim,appearance_style,0.5645728
higher,condition_functionality,0.5644648
odd,evaluation,0.5631761
love,evaluation,0.56313777
ground,context_environment,0.5625073
smoothly,condition_functionality,0.5599761
14,age_era,0.5598942
neat,evaluation,0.55920327
background,context_environment,0.5590661
small,appearance_style,0.55886924
taste,evaluation,0.55860823
unique,evaluation,0.5585538
unusually,evaluation,0.5583471
big,condition_functionality,0.5582533
speeds,condition_functionality,0.5580455
metallic,appearance_style,0.5580027
suburb,context_environment,0.55742383
shadow,appearance_style,0.5573305
lighting,appearance_style,0.55707484
back,condition_functionality,0.55629694
want,evaluation,0.5561731
2000,age_era,0.5553502
trouble,condition_functionality,0.5551387
working,condition_functionality,0.55510867
anywhere,context_environment,0.55447286
wooded,context_environment,0.55417395
happy,evaluation,0.55415344
blackblue,appearance_style,0.55398893
feeling,evaluation,0.5537642
strangely,evaluation,0.5535865
confusing,evaluation,0.5531794
simple,condition_functionality,0.55314726
room,context_environment,0.5530937
environment,context_environment,0.55292034
lit,appearance_style,0.5526242
fancy-looking,evaluation,0.55257833
unsafe,condition_functionality,0.5525476
impression,evaluation,0.55241776
upgraded,age_era,0.55192876
picture,evaluation,0.55182827
lights,appearance_style,0.5517497
solid,condition_functionality,0.55148554
occupied,context_environment,0.55119467
short,condition_functionality,0.5505719
close,condition_functionality,0.5505678
playground,context_environment,0.55051756
confused,evaluation,0.5499289
shiny,appearance_style,0.5495389
new,age_era,0.5494298
mixed,appearance_style,0.54931885
flashy,evaluation,0.5492794
aesthetic,evaluation,0.5491559
baby,condition_functionality,0.5490793
automobile,context_environment,0.5490184
fairly,evaluation,0.54872775
gravel,context_environment,0.5487248
runs,condition_functionality,0.5486159
shot,condition_functionality,0.548556
different,evaluation,0.54795444
wheels,context_environment,0.54793155
best,evaluation,0.5478777
around,context_environment,0.54775137
suitable,condition_functionality,0.5477359
bumpy,evaluation,0.5476552
poorly,evaluation,0.54759246
curious,evaluation,0.54743135
lasts,condition_functionality,0.5474014
noticeably,condition_functionality,0.54736185
teen,age_era,0.54675245
subtle,evaluation,0.5466005
performance,condition_functionality,0.54640895
unattractive,evaluation,0.54636
terrible,evaluation,0.5462494
originally,age_era,0.54606855
parkforest,context_environment,0.5457671
built,condition_functionality,0.5455688
able,condition_functionality,0.5451696
quite,evaluation,0.5451453
school,context_environment,0.54513574
piece,condition_functionality,0.5450395
given,appearance_style,0.5448066
heavily,condition_functionality,0.5447245
faded,appearance_style,0.5442573
struggling,condition_functionality,0.54416966
brighter,appearance_style,0.54416376
3,evaluation,0.5441169
low,condition_functionality,0.5438184
certain,evaluation,0.54375327
dead,condition_functionality,0.5434746
driving,context_environment,0.5433626
silverish,appearance_style,0.5431801
clear,appearance_style,0.54307187
battered,condition_functionality,0.54306877
bold,evaluation,0.54234856
residential,context_environment,0.54231805
high,condition_functionality,0.54205215
inside,context_environment,0.54169464
last,evaluation,0.54154766
retro,age_era,0.54131633
quality,condition_functionality,0.5412481
gold,condition_functionality,0.54081535
exotic,evaluation,0.5400599
timing,condition_functionality,0.5400368
lake,context_environment,0.53994125
work,condition_functionality,0.5398979
top,appearance_style,0.5398575
photo,appearance_style,0.5398244
bluegray,appearance_style,0.53967905
visible,appearance_style,0.53964424
anymore,age_era,0.5395604
gas,condition_functionality,0.5393778
where,context_environment,0.5389039
timeless,age_era,0.5388042
pull,condition_functionality,0.5387955
damaged,condition_functionality,0.53765225
homes,context_environment,0.5376242
sun,appearance_style,0.5372549
bluish,appearance_style,0.5371816
sufficient,condition_functionality,0.53694785
gives,evaluation,0.5367847
green-ish,appearance_style,0.53677464
13,age_era,0.5364121
longer,condition_functionality,0.53636235
finer,condition_functionality,0.53629947
you,evaluation,0.5362731
use,age_era,0.53601944
orangered,appearance_style,0.5360066
metal,appearance_style,0.5358496
sized,appearance_style,0.53519803
answer,condition_functionality,0.53489983
upwards,condition_functionality,0.5347466
fire,condition_functionality,0.53466535
two,evaluation,0.534565
located,context_environment,0.534406
image,appearance_style,0.53419185
elegant,evaluation,0.53408456
stable,condition_functionality,0.53401643
acceptable,evaluation,0.5339667
decent,evaluation,0.53385127
ancient,age_era,0.533582
gross,evaluation,0.5334742
crisis,condition_functionality,0.53343904
slightly,evaluation,0.5330292
rich,condition_functionality,0.53285307
get,condition_functionality,0.5327567
teenager,age_era,0.53265715
funny,evaluation,0.5325331
logo,appearance_style,0.5324089
getting,condition_functionality,0.5324084
attempt,condition_functionality,0.53155184
interesting,evaluation,0.5315129
breaking,condition_functionality,0.5314164
an,condition_functionality,0.5313313
uncommon,evaluation,0.5310302
dirty,appearance_style,0.5309878
previous,age_era,0.5308943
dad,condition_functionality,0.53057015
mph,condition_functionality,0.53056985
a,condition_functionality,0.53053254
seeing,evaluation,0.5301471
thin,condition_functionality,0.5300797
bigger,condition_functionality,0.53001475
feels,condition_functionality,0.5293975
near,context_environment,0.5293223
pickup,condition_functionality,0.5292363
time,condition_functionality,0.5292182
uncomfortable,evaluation,0.5290816
felt,condition_functionality,0.5290689
crushed,condition_functionality,0.52866304
bottom,appearance_style,0.5284971
maroon,appearance_style,0.5284885
sand,context_environment,0.5284763
tinted,appearance_style,0.52840996
antique,age_era,0.52813154
large,condition_functionality,0.52770424
sport,condition_functionality,0.527487
peculiar,evaluation,0.5272439
fit,condition_functionality,0.5270325
pain,condition_functionality,0.52670205
size,appearance_style,0.52662796
friends,condition_functionality,0.5265614
space,context_environment,0.5261152
feel,evaluation,0.52606523
smooth,condition_functionality,0.52580273
take,condition_functionality,0.52555
part,condition_functionality,0.52549136
scene,context_environment,0.52531666
stylish,evaluation,0.52522945
bulky,condition_functionality,0.52501905
oddly,evaluation,0.5243634
reliable,condition_functionality,0.52418125
mom,condition_functionality,0.5239649
roomy,evaluation,0.5239595
drive,context_environment,0.5237028
tiny,condition_functionality,0.5236957
considered,condition_functionality,0.52352685
sketchy,evaluation,0.52342445
lot,context_environment,0.5233613
10,appearance_style,0.5230925
lighter,appearance_style,0.5229535
better,evaluation,0.5225884
nicer,evaluation,0.52257055
useful,condition_functionality,0.5225442
movie,age_era,0.5224634
taking,condition_functionality,0.5222359
b,condition_functionality,0.5221243
kept,condition_functionality,0.52194107
larger,condition_functionality,0.5217966
ramp,context_environment,0.5216277
burnt,condition_functionality,0.5214993
styling,appearance_style,0.52147275
elegance,evaluation,0.52123183
station,context_environment,0.5211723
unsure,evaluation,0.5209538
annoying,evaluation,0.5208948
perfectly,evaluation,0.5208715
bridge,context_environment,0.52068233
crappy,evaluation,0.52059793
exciting,evaluation,0.5205854
other,evaluation,0.52049804
business,context_environment,0.5204135
busted,evaluation,0.5203538
front,context_environment,0.52032864
tricked,evaluation,0.52030295
seeming,evaluation,0.52025205
usage,condition_functionality,0.52010834
difference,condition_functionality,0.5201023
graybluish,appearance_style,0.5200614
prize,condition_functionality,0.51993716
vibrant,appearance_style,0.5198918
cement,context_environment,0.51958764
sunny,appearance_style,0.5195606
attitude,evaluation,0.5195306
regular,condition_functionality,0.5194949
sell,condition_functionality,0.5191611
classic-looking,evaluation,0.5191226
wants,evaluation,0.5190549
trying,evaluation,0.5189818
money,condition_functionality,0.5187123
shorter,condition_functionality,0.5186789
smaller,condition_functionality,0.51848364
leg,condition_functionality,0.51844525
takes,condition_functionality,0.51841915
wild,condition_functionality,0.51795864
while,condition_functionality,0.51777613
doing,condition_functionality,0.5172399
5,appearance_style,0.5172297
how,evaluation,0.51694614
excited,evaluation,0.51694
three,evaluation,0.51672727
goes,condition_functionality,0.51643693
living,condition_functionality,0.5162319
eye,appearance_style,0.5161782
cool,evaluation,0.516032
asphalt,context_environment,0.51594853
desert,context_environment,0.5158999
another,evaluation,0.51588047
efficiency,condition_functionality,0.5156981
lucky,evaluation,0.51559806
lower,condition_functionality,0.5155877
together,condition_functionality,0.5155064
stolen,condition_functionality,0.5154574
mall,context_environment,0.51543355
air,condition_functionality,0.51540583
sedan,context_environment,0.51526356
tires,context_environment,0.5151882
seats,context_environment,0.5150658
expensive,condition_functionality,0.5150501
ocean,context_environment,0.51499736
heights,context_environment,0.5148418
gets,condition_functionality,0.51480955
hills,context_environment,0.51471823
super,condition_functionality,0.5147133
fake,evaluation,0.51465994
away,context_environment,0.5146585
cloudy,appearance_style,0.51458025
smoke,condition_functionality,0.51453406
awesome,evaluation,0.51439464
to,condition_functionality,0.5143469
photos,context_environment,0.5140092
real,evaluation,0.5138249
patchy,evaluation,0.51368934
spacious,context_environment,0.51347363
door,context_environment,0.5133447
2,evaluation,0.5133266
comfortable,evaluation,0.51331097
miles,condition_functionality,0.5131608
parts,condition_functionality,0.51308
fence,context_environment,0.5129757
afraid,evaluation,0.51256436
owning,condition_functionality,0.5125584
foliage,context_environment,0.512337
treees,context_environment,0.51223993
shit,evaluation,0.51214933
modified,condition_functionality,0.5121254
broken,condition_functionality,0.51203096
can,condition_functionality,0.5120219
he,evaluation,0.51192296
vain,evaluation,0.5118789
suburban,context_environment,0.5117583
well,evaluation,0.51172364
paint,appearance_style,0.51167125
took,condition_functionality,0.511667
bushes,context_environment,0.5114636
many,evaluation,0.5113014
just,evaluation,0.51109934
growing,condition_functionality,0.5110387
since,age_era,0.51066846
pool,context_environment,0.5104445
greenery,context_environment,0.5103911
resembles,evaluation,0.5103471
dried,condition_functionality,0.5102248
wheel,context_environment,0.5102079
sense,evaluation,0.5101336
lots,context_environment,0.5099932
aggressive,condition_functionality,0.5099809
bumper,context_environment,0.5098336
unknown,evaluation,0.50977814
steel,condition_functionality,0.50969267
suv,context_environment,0.5095483
comes,condition_functionality,0.50923866
coat,appearance_style,0.50909853
worry,evaluation,0.5090964
sporty-looking,evaluation,0.50892174
confident,condition_functionality,0.5089097
15,age_era,0.50883687
ghettos,context_environment,0.5088204
mountains,context_environment,0.50880885
rear,condition_functionality,0.5086914
feature,condition_functionality,0.5086404
similar,evaluation,0.5084409
curb,context_environment,0.50842
moving,context_environment,0.50813705
having,evaluation,0.5081071
plants,context_environment,0.5080997
okay,evaluation,0.5080533
terribly,evaluation,0.5080354
down,condition_functionality,0.50797117
are,condition_functionality,0.5078883
favorite,condition_functionality,0.507732
details,evaluation,0.5077175
appears,evaluation,0.50726426
wife,condition_functionality,0.5072524
your,evaluation,0.50709033
history,age_era,0.50696856
roadtrips,context_environment,0.50687325
reason,evaluation,0.50662947
taken,evaluation,0.50644314
combined,condition_functionality,0.5062774
during,condition_functionality,0.5061276
pale,appearance_style,0.5059791
definite,condition_functionality,0.5059155
exterior,context_environment,0.50573874
side,evaluation,0.50548315
chose,appearance_style,0.50531113
positive,condition_functionality,0.5050883
things,context_environment,0.50462145
consider,condition_functionality,0.50451434
washed,appearance_style,0.5044055
fancier,evaluation,0.50426084
produced,condition_functionality,0.5041778
x,evaluation,0.5041247
transportation,context_environment,0.504071
cemented,context_environment,0.503788
everything,condition_functionality,0.503759
blacktop,appearance_style,0.50367945
east,context_environment,0.5033066
not,evaluation,0.50319386
water,condition_functionality,0.50310564
sun-drenched,appearance_style,0.50306785
graffiti,context_environment,0.5030219
grill,context_environment,0.5030153
long,condition_functionality,0.5028628
electric,condition_functionality,0.50283885
classy,evaluation,0.5027798
ad,evaluation,0.5027162
slim,condition_functionality,0.5026889
each,appearance_style,0.5026453
makes,condition_functionality,0.5025802
using,age_era,0.5023922
with,condition_functionality,0.50235546
bed,context_environment,0.502263
between,condition_functionality,0.5022125
special,condition_functionality,0.501809
from,condition_functionality,0.5017984
auto,condition_functionality,0.5017011
community,context_environment,0.5016503
sky,context_environment,0.5014476
grills,context_environment,0.50143015
aesthetically,evaluation,0.501361
brick,context_environment,0.5012603
nothing,evaluation,0.5012289
hate,evaluation,0.50104296
forever,age_era,0.50067884
id,evaluation,0.50044656
line,condition_functionality,0.5003762
replaced,condition_functionality,0.50028634
crap,evaluation,0.50021756
hauling,condition_functionality,0.5001391
wanted,evaluation,0.500139
movies,context_environment,0.50003666
care,condition_functionality,0.50001776
open,appearance_style,0.4997831
attract,evaluation,0.49974138
condition,condition_functionality,0.49960512
against,condition_functionality,0.49954474
about,evaluation,0.49948326
used,age_era,0.4994443
cheaper,condition_functionality,0.49937463
after,condition_functionality,0.49932465
races,appearance_style,0.49931479
bit,condition_functionality,0.499258
one,evaluation,0.49918965
rest,condition_functionality,0.4991734
kid,condition_functionality,0.49907058
overall,evaluation,0.4989615
project,condition_functionality,0.4988309
edition,age_era,0.4987218
favorable,evaluation,0.4983484
broad,condition_functionality,0.49821687
give,evaluation,0.49816597
before,age_era,0.49814382
smell,evaluation,0.49756217
interior,context_environment,0.49749142
drove,condition_functionality,0.49737766
midlife,age_era,0.49736494
that,evaluation,0.49722654
this,evaluation,0.49714833
run,condition_functionality,0.49714795
forested,context_environment,0.49712926
looked,evaluation,0.4971056
farther,condition_functionality,0.49693742
found,evaluation,0.4968076
five,appearance_style,0.49653482
helps,condition_functionality,0.49643645
square,context_environment,0.49640536
mansion,context_environment,0.49638176
roar,condition_functionality,0.49627697
of,condition_functionality,0.49622118
deep,condition_functionality,0.4960491
finish,condition_functionality,0.49591476
choose,condition_functionality,0.49582994
rack,context_environment,0.49578375
tan,appearance_style,0.49568212
showing,condition_functionality,0.49564445
for,condition_functionality,0.49564
outdoorsy-type,context_environment,0.49546733
so,evaluation,0.49534565
plain,evaluation,0.49521843
hilly,context_environment,0.49495614
little,condition_functionality,0.4947822
somewhere,context_environment,0.49467927
slight,evaluation,0.4946562
sleek,condition_functionality,0.49445567
truckcar,context_environment,0.49443498
there,evaluation,0.49433786
change,condition_functionality,0.4942021
closed,condition_functionality,0.4936486
child,condition_functionality,0.49348328
thoughts,evaluation,0.49347964
fog,appearance_style,0.49341184
above,evaluation,0.4932887
computer,condition_functionality,0.49328005
e,condition_functionality,0.49326652
i,evaluation,0.4932356
20,age_era,0.49303263
tire,context_environment,0.49303165
sporty,condition_functionality,0.4929336
cat,condition_functionality,0.49290934
upper,condition_functionality,0.49284017
capacity,condition_functionality,0.49274683
system,condition_functionality,0.4926712
alike,evaluation,0.49254757
someone,condition_functionality,0.49253926
store,context_environment,0.4924658
faced,evaluation,0.49244392
made,condition_functionality,0.4923808
stopped,condition_functionality,0.49211067
s,evaluation,0.49209237
ultra,condition_functionality,0.492029
almost,evaluation,0.49197876
option,condition_functionality,0.4918927
behind,context_environment,0.49166182
camping,context_environment,0.4916507
constructed,condition_functionality,0.49122405
suit,appearance_style,0.49118212
advert,evaluation,0.4909815
completely,evaluation,0.4908917
box,appearance_style,0.49084127
closest,context_environment,0.49082062
shrubs,context_environment,0.4906478
complex,condition_functionality,0.49030793
alpha,appearance_style,0.48961037
lie,evaluation,0.48947632
cheapy,condition_functionality,0.48945278
iron,appearance_style,0.4893693
my,evaluation,0.48924094
normal,evaluation,0.48922175
finding,context_environment,0.48909387
dry,condition_functionality,0.48908246
much,evaluation,0.4890599
aqua,appearance_style,0.48903674
uniquely,evaluation,0.4889862
designed,condition_functionality,0.48891586
now,age_era,0.48883817
seem,evaluation,0.48881215
main,condition_functionality,0.48876455
way,evaluation,0.48872435
think,evaluation,0.4887
4,appearance_style,0.48860115
like,evaluation,0.48858985
had,evaluation,0.4884092
language,condition_functionality,0.48834702
prefer,evaluation,0.4881834
son,condition_functionality,0.48800552
rare,evaluation,0.4879818
re,condition_functionality,0.4879665
god,evaluation,0.48786473
experience,condition_functionality,0.4877429
missing,evaluation,0.4877409
full,appearance_style,0.4876876
really,evaluation,0.48761377
position,context_environment,0.48752627
people,context_environment,0.487386
when,age_era,0.4873101
without,condition_functionality,0.48711663
multiple,condition_functionality,0.48706904
make,condition_functionality,0.48706454
souped,condition_functionality,0.48679867
relatively,condition_functionality,0.4867787
stainless,appearance_style,0.48674497
intended,evaluation,0.4867101
popular,evaluation,0.48666787
her,evaluation,0.48657572
ten,appearance_style,0.48652142
ordinary,evaluation,0.48644903
fan,condition_functionality,0.48641095
office,context_environment,0.48640484
viewed,evaluation,0.48631096
infrastructure,context_environment,0.48618487
least,evaluation,0.48609665
neutral,appearance_style,0.48601696
life,condition_functionality,0.4856508
several,evaluation,0.4854609
bluegreen,appearance_style,0.48538923
model,condition_functionality,0.48527038
buggy,evaluation,0.4851342
telling,evaluation,0.4850052
riding,context_environment,0.48496258
grove,context_environment,0.48486456
parkked,context_environment,0.4848228
abandoned,context_environment,0.4848037
trunk,context_environment,0.4846909
straight,evaluation,0.4842895
warehouse,context_environment,0.4842501
fits,condition_functionality,0.4841677
level,condition_functionality,0.48416632
natural,evaluation,0.4841563
seat,context_environment,0.48415035
loyal,condition_functionality,0.48406067
all,evaluation,0.48405874
advanced,condition_functionality,0.48401433
grandma,age_era,0.48386058
fix,evaluation,0.48370165
customized,appearance_style,0.4836546
right,evaluation,0.48361856
involved,condition_functionality,0.4835602
maintenance,condition_functionality,0.4834517
huge,condition_functionality,0.48343325
familiar,evaluation,0.48333278
ford,context_environment,0.4832164
raining,context_environment,0.4831969
playing,condition_functionality,0.48316506
boring,evaluation,0.48305115
windshield,context_environment,0.48300034
mind,evaluation,0.48283577
through,condition_functionality,0.48280257
bland,evaluation,0.48276708
telephone,context_environment,0.4826263
somebody,condition_functionality,0.48256433
mommy,condition_functionality,0.48225552
shortened,condition_functionality,0.48220143
surrounded,context_environment,0.48211172
plate,condition_functionality,0.48205206
cheap,condition_functionality,0.48182988
fun,evaluation,0.48177725
extended,condition_functionality,0.4816324
repair,condition_functionality,0.4815903
cover,context_environment,0.48157936
sale,condition_functionality,0.48156437
formed,condition_functionality,0.48142442
own,condition_functionality,0.48140508
comfort,evaluation,0.48131028
update,age_era,0.48128927
practical,condition_functionality,0.48109552
accident,condition_functionality,0.48107406
show,condition_functionality,0.481049
images,context_environment,0.4809187
ok,evaluation,0.48071018
glorious,evaluation,0.4806118
items,condition_functionality,0.48060673
actually,evaluation,0.48053837
shape,condition_functionality,0.4805345
facing,evaluation,0.48052385
truck-like,condition_functionality,0.48035508
maintain,condition_functionality,0.480244
proves,condition_functionality,0.4801323
dream,condition_functionality,0.48005593
learning,condition_functionality,0.4799366
45,age_era,0.4799363
alright,evaluation,0.47985995
jeep,context_environment,0.47953245
pick,appearance_style,0.47948298
golden,appearance_style,0.4792715
ride,condition_functionality,0.47926986
up,condition_functionality,0.47926632
reminds,evaluation,0.47920263
withstand,condition_functionality,0.47916302
dust,condition_functionality,0.47906217
guy,condition_functionality,0.4789009
driven,condition_functionality,0.47888154
under,context_environment,0.47876966
every,evaluation,0.47868595
exhaust,condition_functionality,0.47864348
even,evaluation,0.47860843
shown,evaluation,0.47856826
tell,evaluation,0.47823283
owner,condition_functionality,0.47801644
type,appearance_style,0.4779925
price,appearance_style,0.47784185
seems,evaluation,0.47783107
jersey,context_environment,0.477732
shined,appearance_style,0.47757858
wonky,evaluation,0.47749862
gated,condition_functionality,0.4773985
banged,condition_functionality,0.4773962
ideal,condition_functionality,0.4773408
wealthy,condition_functionality,0.47733122
sideways,context_environment,0.4772739
wow,evaluation,0.47725695
once,condition_functionality,0.47708386
same,evaluation,0.4769644
tow,context_environment,0.47687513
was,condition_functionality,0.47686812
needs,condition_functionality,0.47685564
being,evaluation,0.47684503
piped,condition_functionality,0.4766621
in,condition_functionality,0.47657382
any,evaluation,0.47655982
factory,condition_functionality,0.47653934
frequent,evaluation,0.4763258
again,evaluation,0.47632504
wagon,context_environment,0.47628528
more,evaluation,0.4761137
works,evaluation,0.47608456
worrying,evaluation,0.4759834
shore,context_environment,0.47593036
set,appearance_style,0.4751777
nature,context_environment,0.4751353
generated,condition_functionality,0.47508833
tint,appearance_style,0.47496173
semi,condition_functionality,0.47495022
automatic,condition_functionality,0.47493142
going,condition_functionality,0.47490752
help,evaluation,0.47485912
most,evaluation,0.4745562
wrong,evaluation,0.47414076
career,condition_functionality,0.47412336
kids,condition_functionality,0.47410953
pointed,evaluation,0.4740613
undesirable,evaluation,0.4739453
oval,appearance_style,0.4739207
im,evaluation,0.4739097
out,condition_functionality,0.47388816
it,evaluation,0.4738295
class,condition_functionality,0.4737935
overpass,context_environment,0.47377503
deluxe,condition_functionality,0.47373542
church,context_environment,0.47358572
subdued,appearance_style,0.47338182
as,evaluation,0.47334433
field,context_environment,0.4731983
racing,context_environment,0.47319344
finally,evaluation,0.4731475
stone,context_environment,0.47313574
vividly,evaluation,0.4730733
egg,appearance_style,0.47302297
shaped,condition_functionality,0.4730047
backside,appearance_style,0.4730033
reach,condition_functionality,0.47293893
lego,context_environment,0.47282237
4-door,context_environment,0.4727351
wooden,appearance_style,0.47266626
single,age_era,0.4725603
